Url kad.arbitr,Название,Сумма иска,Проверить сумму иска,Директор,КПП,Адрес,Companiumru Телефон,Companiumru Эл. почта,Companiumru Сайт
https://kad.arbitr.ru/Card/6f964a12-328f-45bd-92bb-f9262416c970,"ООО ""КАСТОРАМА РУС""",2163927.61,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Соколов Дмитрий Александрович,770501001,"115054, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, КОСМОДАМИАНСКАЯ НАБ., Д. 52, СТР. 1",+7 831 275-83-19; +7 495 649-85-09; +7 845 266-93-39; +7 495 755-33-68; +7 495 777-25-55; +7 495 649-67-79,info@castorama.ru; olga.repina@castorama.ru,webkamin.ru; castorama.ru
https://kad.arbitr.ru/Card/605e0ff1-2474-497f-a04c-1b15d83b40ae,"ООО ""СПРИНТ""",430838.71,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Ковалев Владимир Романович,770401001,"119019, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ АРБАТ, НОВЫЙ АРБАТ УЛ., Д. 21, ЭТАЖ ПОДВАЛ № 3, ПОМ.V, КОМ. 119А",+7 977 497-29-54,,
https://kad.arbitr.ru/Card/7abbf125-df20-4426-913d-5441a8e420cf,"ООО ""ДИМ""",319726.25,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Зинчук Александра Анатольевна,772401001,"115573, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЗЯБЛИКОВО, ОРЕХОВЫЙ ПР-Д, Д. 35, К. 1, КВ. 362",,swin4uk@yandex.ru,
https://kad.arbitr.ru/Card/3e262f08-7fe3-4b83-bd8d-11cc8db202bb,"ООО ""МОСТ""",940511.5,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Устинов Андрей Александрович,772801001,"117246, ГОРОД МОСКВА, НАУЧНЫЙ ПРОЕЗД, ДОМ 13, ЭТ/ПОМ/КОМ 8/XIII/14",+7 381 295-65-84; +7 499 135-40-66; +7 495 723-74-24,office@most.ooo; market@most.ooo,most.ooo
https://kad.arbitr.ru/Card/baec3c49-9420-4546-b78c-9ee366cc18a8,"ООО ""ТЕЛЕДРАЙВ""",121101.64,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Савенко Андрей,770801001,"107140, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ, ЛЕСНОРЯДСКИЙ ПЕР., Д. 18, СТР. 1",,,
https://kad.arbitr.ru/Card/4661eaef-0301-4a34-881d-c7f65584ebd1,"ООО ""МПС""",785683.7,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Холмогорова Наталья Вадимовна,771801001,"107113, ГОРОД МОСКВА, МАЛЕНКОВСКАЯ УЛИЦА, ДОМ 14, КОРПУС 3, Э 1 П 4 КОМ 3 О 3А",+7 495 778-87-10,1631691@mail.ru,
https://kad.arbitr.ru/Card/2ba00532-df8c-4d3b-acb3-b352ae419ebe,"ООО ""РАСПИВОЧНАЯ""",0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Лопаксин Максим Сергеевич,770101001,"101000, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, ПОКРОВКА УЛ., Д. 9, СТР. 1",+7 985 282-05-48,,
https://kad.arbitr.ru/Card/8f0bb4ba-74c6-47da-bc39-bcf14de43a31,"ООО ""ЭКО-СТРОЙМОНТАЖ""",288348.29,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Сподынюк-Запорожец Андрей Валерьевич,780601001,"195160, Г САНКТ-ПЕТЕРБУРГ, СВЕРДЛОВСКАЯ НАБ, Д. 60, ЛИТЕРА В, ПОМ 1Н ПОМЕЩЕНИЕ 170, КАБ 245",+7 812 318-53-63; +7 812 646-70-96; +7 921 054-12-39,,
https://kad.arbitr.ru/Card/b12ecdbc-7d3c-413b-a175-04b107cd4f9e,"ООО ""ГСР""",367880.72,нет,ДИРЕКТОР: Ледовских Екатерина Викторовна,504701001,"141420, РОССИЯ, МОСКОВСКАЯ ОБЛ., ХИМКИ Г.О., ХИМКИ Г., МКР. СХОДНЯ, ОКТЯБРЬСКАЯ УЛ., ВЛД. 29А, СТР. 1, ПОМЕЩ. А10",+7 922 238-10-96,office.gsr.msk@gmail.com; ledkaterina@74.ru,
https://kad.arbitr.ru/Card/bfa0a1d6-95dd-4fb3-8165-1ef6c8978aec,"ООО ""РК ""НОВОТРАНС""",121331.85,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Иванов Иван Сергеевич,771401001,"125167, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХОРОШЕВСКИЙ, ЛЕНИНГРАДСКИЙ ПР-КТ, Д. 37, К. 3",+7 495 970-09-13; +7 495 925-54-50,,
https://kad.arbitr.ru/Card/0f9f3f60-829a-407b-8523-7415d619d503,"ООО ""СТЭЙТЕН""",0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Никитин Дмитрий Алексеевич,771601001,"129343, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ СВИБЛОВО, БЕРИНГОВ ПР-Д, Д. 3, ПОМЕЩ. 14В/1",+7 495 234-88-88,84956666666@mail.ru; info@rambler.ru,staten.ru
https://kad.arbitr.ru/Card/72cec7f7-f2f8-4dc5-96aa-4a0177f9deee,"ООО ""ННМК""",306556.14,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Попова Татьяна Валерьевна,503201001,"143006, РОССИЯ, МОСКОВСКАЯ ОБЛ., ОДИНЦОВСКИЙ Г.О., ОДИНЦОВО Г., ТРАНСПОРТНЫЙ ПР-Д, Д. 1, ЛИТЕР Б, ЭТАЖ 3/ОФИС 313",,,
https://kad.arbitr.ru/Card/e681755d-4265-4e55-ba83-c8509f3a416d,"ООО ""СИНТЕСТ""",523906.83,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Киселев Денис Юрьевич,771801001,"107150, ГОРОД МОСКВА, БОЙЦОВАЯ УЛИЦА, ДОМ 22, ЭТ 2 ПОМ V К 7 О 1В",+7 495 668-07-93; +7 495 648-54-43,ivan@syntest.ru,
https://kad.arbitr.ru/Card/87608bc2-41e2-495e-a3c3-df0d35be2653,"ООО ""СК-ИНТЕГРАЛ""",30000000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Пак Александр Виссарионович,772801001,"117292, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ АКАДЕМИЧЕСКИЙ, ИВАНА БАБУШКИНА УЛ., Д. 15, К. 1-2, ПОМЕЩ. 1П",,sk-integral.1@gmail.com,
https://kad.arbitr.ru/Card/1f54e682-dd74-40f4-92d6-c6c6b054876d,"ООО  ""БАРС""",297500,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Кротов Александр Николаевич,482601001,"398008, ЛИПЕЦКАЯ ОБЛАСТЬ, ЛИПЕЦК ГОРОД, ОКТЯБРЬСКАЯ УЛИЦА, ДОМ 22, ПОМЕЩЕНИЕ 1",+7 343 361-01-26; +7 474 256-66-07; +7 962 841-39-62; +7 922 192-22-27,bars.met@mail.ru,
https://kad.arbitr.ru/Card/65d3bd34-a7c5-410b-9140-7b7013fd9144,"ООО ""АХТУБА""",1735910.54,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Фоменко Денис Григорьевич,770801001,"107078, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ, ОРЛИКОВ ПЕР., Д. 5, СТР. 1А, ЭТАЖ 1, КОМ. 166",+7 495 411-28-64; +7 495 781-20-82,ashirginova@tsaudit.ru,ahtubacomp.ru
https://kad.arbitr.ru/Card/3acccf17-be15-4d55-b17f-6414f820d3ec,"ООО ""РРК""",299896.63,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Идрисов Марат Эмиевич,775101001,"142160, ГОРОД МОСКВА, ВОРОНОВСКОЕ ПОСЕЛЕНИЕ, ЛЬВОВО ДЕРЕВНЯ, ВБЛИЗИ ДЕРЕВНИ",+7 495 850-66-94; +7 495 592-47-28; +7 495 592-47-27,rrk@td-rrk.ru,
https://kad.arbitr.ru/Card/ef5c44ad-4fb3-4351-9b29-2eb32881b63c,"ООО ""СТМ-СЕРВИС""",165000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Зайцев Олег Евгеньевич,668501001,"620026, СВЕРДЛОВСКАЯ ОБЛАСТЬ, ЕКАТЕРИНБУРГ ГОРОД, РОЗЫ ЛЮКСЕМБУРГ УЛИЦА, СТРОЕНИЕ 51, ПОМЕЩЕНИЕ 709",+7 352 224-00-32; +7 343 310-33-55; +7 343 213-77-01; +7 343 310-33-68,bodryhsa@sinara-group.com; office@sinara-group.com,dettur.ru; sinaratm.ru; sinara-group.com
https://kad.arbitr.ru/Card/7c2fb508-2edc-4996-9709-791559099d9e,"ЗАО ""ИНСТИТУТ ГИДРОТРАНСПРОЕКТ""",21696398.92,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Иванов Николай Владимирович,771401001,"123290, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХОРОШЕВСКИЙ, 1-Й МАГИСТРАЛЬНЫЙ ТУП., Д. 5А, ЭТАЖ 6, КОМ. 22",+7 495 685-58-85; +7 499 372-70-82; +7 499 372-70-83,urist-86@yandex.ru; info@igtp.ru,igtp.ru
https://kad.arbitr.ru/Card/0e1fe134-654b-42a4-9698-446ad7208eff,"ООО ""СИЛА""",0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Михайлов Владислав Игоревич,770501001,"115093, ГОРОД МОСКВА, ЛЮСИНОВСКАЯ УЛИЦА, ДОМ 13, СТРОЕНИЕ 1",+7 499 191-34-05; +7 495 956-16-77; +7 495 933-37-01,,
https://kad.arbitr.ru/Card/3b3d289d-1d02-47d9-bd4a-ebef810882d1,"ООО ""ПДК ""ЮЖНЫЙ""",542424.94,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Белоус Александр Сергеевич,507701001,"142277, МОСКОВСКАЯ ОБЛАСТЬ, СЕРПУХОВ ГОРОД, ВАСИЛЬЕВСКОЕ ДЕРЕВНЯ, 3Б",+7 496 735-57-83; +7 495 769-16-20; +7 985 225-66-40,info@uzhniy.ru; office@uzhniy.ru,pdk-uzhniy.ru; pdk-uzhniy.ru
https://kad.arbitr.ru/Card/dfffeb82-e80f-416d-b9e0-1a495855f15f,"ООО ""СПЕЦСЕРВИСТРАНС-М""",3673627.44,нет,ДИРЕКТОР: Карташов Роман Николаевич,772901001,"119602, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТРОПАРЕВО-НИКУЛИНО, МИЧУРИНСКИЙ ПРОСПЕКТ.ОЛИМПИЙСКАЯ ДЕРЕВНЯ УЛ., Д. 4, К. 3, ПОМЕЩ. II, КОМ. 21",,sst-m@inbox.ru,
https://kad.arbitr.ru/Card/cb170bdc-ee64-4d7f-bcd7-d7bcaad40e2f,"ООО ""БМР""",273343.54,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Литвинов Алексей Германович,772401001,"115516, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЦАРИЦЫНО, СЕВАНСКАЯ УЛ., Д. 52, К. 2, ПОМЕЩ. 6/1",,litwork@list.ru,
https://kad.arbitr.ru/Card/0462af4f-0c0f-4d72-ae42-f2b68250c047,"ООО ""КИТ СТРОЙ""",399698.72,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Чуркин Роман Евгеньевич,770301001,"123112, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, ПРЕСНЕНСКАЯ НАБ., Д. 12, ПОМЕЩ. 42",+7 921 810-10-35,churkin@itp.one,
https://kad.arbitr.ru/Card/7767f70a-89e0-4078-ae58-200dbfe88d5b,"ООО ""ЛОКОТЕХ-СЕРВИС""",165000,нет,"Управляющая организация: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОКОМОТИВНЫЕ ТЕХНОЛОГИИ""",770901001,"109004, ГОРОД МОСКВА, ЗЕМЛЯНОЙ ВАЛ УЛИЦА, ДОМ 59, СТРОЕНИЕ 2, ПОМЕЩЕНИЕ 514",+7 962 656-03-15; +7 499 638-22-98; +7 421 291-06-66; +7 302 224-24-63; +7 800 600-06-69; +7 904 154-89-34,info@tmh-service.ru,tmh-service.ru; locotech.ru
https://kad.arbitr.ru/Card/924dc298-1e06-47ee-bf30-23b6101f2ba9,"ООО ""ЗЕТА""",325980.03,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Житова Анастасия Владимировна,381201001,"664074, ИРКУТСКАЯ ОБЛАСТЬ, ИРКУТСК ГОРОД, ЛЕРМОНТОВА УЛИЦА, ДОМ 71, КВАРТИРА 3",,,
https://kad.arbitr.ru/Card/1172696a-1820-40da-bb4f-2150c95ffd0e,"ООО ""СТРОЙТЭК""",249487.38,нет,ДИРЕКТОР: Бахтеев Тимур Уралович,027601001,"450105, РЕСПУБЛИКА БАШКОРТОСТАН, УФА ГОРОД, ЮРИЯ ГАГАРИНА УЛИЦА, ДОМ 74/3, ЭТАЖ ПОДВАЛ №1, НОМЕР 3 П",+7 987 606-00-67; +7 927 343-97-17,,
https://kad.arbitr.ru/Card/a13c59ee-ec0a-4426-8d06-d08f6244f73c,"ООО ""МИРЕКС""",493380,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Аббазов Рафаэль Рашидович,771801001,"107553, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ГОЛЬЯНОВО, АМУРСКАЯ УЛ., Д. 1А, СТР. 7, ПОМЕЩ. 98К",,mirex3395@gmail.com,
https://kad.arbitr.ru/Card/030f7b82-e1c5-433e-8ac9-26e597766046,"ООО ""ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""ВИКТОРИЯ""",2899516.23,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Янов Андрей Викторович,771701001,"129085, ГОРОД МОСКВА, МИРА ПРОСПЕКТ, ДОМ 101В, СТР 1, ОФИС ЭТАЖ 5 КОМ. 22",+7 495 616-00-16; +7 925 186-28-86; +7 905 789-56-44,vsa260872@yandex.ru; docofic2019@yandex.ru; company.victoria@mail.ru; info@vicss.ru,vicss.ru
https://kad.arbitr.ru/Card/ecf04899-ad2a-49fc-97e9-dfcb351d8493,"ООО ""АТЛАС""",1208281.15,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Гущин Игорь Викторович,772401001,"115304, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЦАРИЦЫНО, КАСПИЙСКАЯ УЛ., Д. 22, К. 1, СТР. 5, ПОМЕЩ. 22/8",+7 916 533-25-58; +7 499 550-00-22,girfanova@fskhome.com,
https://kad.arbitr.ru/Card/b4896132-835e-4510-b62f-ee584e8bf045,"ООО ""ОСТАФЬЕВО-ГРУПП""",177825.09,нет,ЛИКВИДАТОР: Тохтаров Дмитрий Георгиевич,775101001,"108851, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. ГОРОДСКОЙ ОКРУГ ЩЕРБИНКА, ЩЕРБИНКА Г., ВЫСОТНАЯ УЛ., Д. 5, ПОМЕЩ. 2",,,
https://kad.arbitr.ru/Card/87a095f9-9dc3-4a89-9191-28704c9898e6,"ООО ""ЭКСЖИЛСТРОЙ""",788101.88,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Олейник Сергей Леонидович,770901001,"109316, ГОРОД МОСКВА, ТАЛАЛИХИНА УЛИЦА, ДОМ 35, ПОМЕЩЕНИЕ II, IV, ЦОК.ЭТАЖ",+7 495 957-73-93; +7 495 670-00-50; +7 985 231-90-77; +7 495 270-00-50,lara2806@yandex.ru; egs-tagansky@mail.ru; spetc1@yandex.ru,exgilsroy.mpi.ru; exgilstroy.mpi.ru
https://kad.arbitr.ru/Card/76deaafd-e4cc-4c72-9264-61858dc2e6ac,"ООО ""КОМПАНИЯ ""БРАЙТ ПИПЛ""",420871.08,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Гальперина Мария Александровна,770301001,"123557, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, ЭЛЕКТРИЧЕСКИЙ ПЕР., Д. 1, СТР. 12, ПОМЕЩ./ЭТ. I/7, КОМ. 708",+7 495 640-91-21,sytnikovavv@br-people.ru; galperina@mail.ru; info@bright-people.ru,bright-people.ru
https://kad.arbitr.ru/Card/f67e1783-6e1d-4d2e-91a1-4d78077690f4,"ООО ""ЛОГОЛИТ""",115000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Маренин Денис Николаевич,773301001,"125424, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПОКРОВСКОЕ-СТРЕШНЕВО, СХОДНЕНСКИЙ ТУП., Д. 4",+7 495 766-07-59,info@logolit.ru,
https://kad.arbitr.ru/Card/b84148a2-a228-4615-a364-1be2cb3b601c,"ООО ""КРОММ-ОФИС""",117983.86,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Довгий Олег Александрович,771701001,"129226, ГОРОД МОСКВА, СЕЛЬСКОХОЗЯЙСТВЕННАЯ УЛИЦА, 16А",+7 903 212-84-50; +7 499 181-00-48; +7 495 181-00-48; +7 904 331-27-75,office@krommofis.ru; angel56610@yandex.ru,reformagkh.ru; krommofis.ru
https://kad.arbitr.ru/Card/c4481aeb-4083-4099-a7c5-525321168375,"ООО ""КС ГРУПП""",191937.28,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Сентюрихин Михаил Николаевич,774301001,"125475, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХОВРИНО, ЗЕЛЕНОГРАДСКАЯ УЛ., Д. 35, К. 5, ПОМЕЩ. 6/1",+7 495 695-06-41; +7 903 363-76-95,kcgroupp@gmail.com; msent27@gmail.com,
https://kad.arbitr.ru/Card/1ab6fd2c-abbb-4533-86c9-55092a606522,"ООО ""АМВ СПЕЦТЕХ""",984769.26,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Петрушка Марина Викторовна,503201001,"143080, РОССИЯ, МОСКОВСКАЯ ОБЛ., ОДИНЦОВСКИЙ Г.О., ЛЕСНОЙ ГОРОДОК ДП., ФАСАДНАЯ УЛ., Д. 2, К. 1, КВ. 262",,,
https://kad.arbitr.ru/Card/d235cd3a-2782-489d-b0a9-40ca8b59befb,"ООО ""АЮТАЙ""",0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Шинакова Екатерина Дмитриевна,772901001,"119192, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ РАМЕНКИ, МИЧУРИНСКИЙ ПР-КТ, Д. 21, К. 3, ПОМЕЩ. I/КОМ 9",+7 495 101-16-65; +7 985 762-11-89,fin1.uk.spa@gmail.com; tanya.kapi@yandex.ru; fin2.uk.spa@gmail.com,
