Url kad.arbitr,Название,ИНН,Номер дела,Сумма иска,Проверить сумму иска,Директор,КПП,ОГРН,Дата присвоения ОГРН,Адрес,Sbisru Телефон,Sbisru Эл. почта,VbankCenterru Телефон,VbankCenterru Эл. почта
https://kad.arbitr.ru/Card/ca637437-4743-4d5f-bd05-d43e0667a468,"ООО ""ТД ФИРМА ""МЕРКУРИЙ""",9704044762,А40-48841/2024,2500000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Митрофанов Дмитрий Геннадьевич,770401001,1217700021923,26.01.2021,"119435, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ, БОЛЬШОЙ САВВИНСКИЙ ПЕР., Д. 12, СТР. 12, ПОМЕЩ. 1, КОМ. 11",8 (8782) 26-42-97,kaluzhskii@td-mercury.org,,
https://kad.arbitr.ru/Card/3aac5239-c509-41ca-b51b-d756616ec8d8,"ООО ""СК БАЙ ИНВЕСТ""",7734473846,А40-48839/2024,494469,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Песляк Евгений Николаевич,773401001,1237700199252,14.03.2023,"123458, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ СТРОГИНО, МАРШАЛА КАТУКОВА УЛ., Д. 24, К. 6, ПОМЕЩ. 101П, ОФИС 10М",,peslyak.yevgeniy@mail.ru,+7 (916) 180-65-65 ,peslyak.yevgeлiy@mai1.ru
https://kad.arbitr.ru/Card/1eafdf40-f309-449d-990e-5da4df6cb7fb,"ООО ""СКМ-20""",7743340218,А40-48838/2024,1673424.68,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Анпилов Дмитрий Александрович,774301001,1207700181941,03.06.2020,"125493, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ГОЛОВИНСКИЙ, СМОЛЬНАЯ УЛ., Д. 2, ПОМЕЩ. 5H/5, ОФИС А6Х",,,+7 (926) 472-38-99 ,ckm-20@mail.ru
https://kad.arbitr.ru/Card/55e7bbb7-3255-45df-a4f2-2d518f5e95dc,"ООО ""ИНВЕСТБЮРО""",7727396799,А40-48834/2024,11768909.79,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Якупова Нажия Зинняевна,770201001,1187746915883,06.11.2018,"107045, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ МЕЩАНСКИЙ, СРЕТЕНКА УЛ., Д. 17, СТР. 1, ЭТАЖ МАНСАРДА, КОМН. 304",,,,
https://kad.arbitr.ru/Card/1fea9ee3-308a-42f8-84b3-222569c6bac7,"ООО ""МАСТЕР СТРОЙ""",7728900666,А40-48833/2024,2513298.04,нет,"Управляющая организация: АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТ ИНВЕСТ""",771801001,1147748028218,12.12.2014,"107564, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БОГОРОДСКОЕ, КРАСНОБОГАТЫРСКАЯ УЛ., Д. 38, СТР. 2, ПОМЕЩ. 1Н/4",,m.gorelik@c-k.ru,+7 (495) 500-00-20 ; +7 (916) 602-62-62 ,info@mstroymoscow.ru; m.gorelik@c-k.ru; obn-leonova@pik.ru
https://kad.arbitr.ru/Card/4e98371a-c1c9-4e2d-a38f-4f4218a535a7,"ООО ""КООПЕРАТИВ""",5827002740,А40-48829/2024,190699.27,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Пучков Константин Игоревич,582701001,1225800000590,28.01.2022,"442600, РОССИЯ, ПЕНЗЕНСКАЯ ОБЛ., СПАССКИЙ М.Р-Н, СПАССК Г., ГОРОД СПАССК Г.П., СПАССК Г., ЛЕНИНА УЛ., ЗД. 106, ОФИС 7",,,,
https://kad.arbitr.ru/Card/a4c2ac63-6eed-4ba8-b3d0-5ec4f3aa6f2b,"ООО ""ЭКОГРАД""",9200000244,А40-48827/2024,0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Чуйкин Денис Александрович,920001001,1209200005871,03.12.2020,"299014, РОССИЯ, Г. СЕВАСТОПОЛЬ, ВН.ТЕР.Г. ГАГАРИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ, ПРАВДЫ УЛ., ЗД. 10/8, ОФИС 38",,,,
https://kad.arbitr.ru/Card/1348abea-6ebc-4ef8-85ec-0ac19fb61275,"ООО ""НВК""",7705845722,А40-48826/2024,139551.59,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Михальчук Вадим Сергеевич,770501001,1087746722293,06.06.2008,"115184, ГОРОД МОСКВА, ОЗЕРКОВСКИЙ ПЕРЕУЛОК, 12",8 (84465) 6-20-07,k.mikhalchuk@nvk-depo.ru,+7 (495) 988-37-31 ; +7 (345) 252-70-05 ; +7 (302) 375-22-22 ; +7 (495) 788-60-16 ; +7 (913) 647-73-10 ; +7 (927) 058-82-12 ; +7 (353) 726-90-15 ; +7 (848) 230-16-86 ; +7 (347) 240-19-88 ,dfo3@mil.ru; chief_ershov@2vrk.ru; o.gusak@vtk-orsk.ru; vedeco_moskovka@nvrk.ru; wekshca@yandex.ru
https://kad.arbitr.ru/Card/cabc9d88-8b76-4ec6-b4ca-084da9189a63,"ООО ""ФОРМАТ""",9724010031,А40-48825/2024,352007.23,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Шалыгин Иван Сергеевич,772401001,1207700135356,24.03.2020,"115404, ГОРОД МОСКВА, ЭЛЕВАТОРНАЯ УЛИЦА, ДОМ 14, КВАРТИРА 279",,,,
https://kad.arbitr.ru/Card/d23ed2cd-c81d-4605-8546-40fc10ccbab5,"ООО ""КПС""",7730258083,А40-48824/2024,1818055,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Дроздов Дмитрий Олегович,773001001,1207700236358,15.07.2020,"121059, ГОРОД МОСКВА, БЕРЕЖКОВСКАЯ НАБЕРЕЖНАЯ, ДОМ 20, СТРОЕНИЕ 10, Э 3 П 1 К 36",,,,
https://kad.arbitr.ru/Card/4d6d6cb8-c407-4534-abdb-88a7be033747,"ООО ""КПС""",7730258083,А40-48818/2024,1551010,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Дроздов Дмитрий Олегович,773001001,1207700236358,15.07.2020,"121059, ГОРОД МОСКВА, БЕРЕЖКОВСКАЯ НАБЕРЕЖНАЯ, ДОМ 20, СТРОЕНИЕ 10, Э 3 П 1 К 36",,,,
https://kad.arbitr.ru/Card/7d3ac370-a848-4667-9978-992c67c3424f,"ООО ""СИНЕРГИЯ""",5038125456,А40-48814/2024,1060127.57,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Вахтеров Сергей Викторович,503801001,1175050000476,18.01.2017,"141206, МОСКОВСКАЯ ОБЛ, ПУШКИНО Г, ДОБРОЛЮБОВА УЛ, Д. 20",,,+7 (916) 731-26-40 ,
https://kad.arbitr.ru/Card/48e186fa-eb46-4d58-9057-f2cbda458d8a,"ООО ""АВТОПРОГРЕСС""",7718963804,А40-48803/2024,192126.31,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Бедняков Александр Владимирович,770101001,1147746026240,20.01.2014,"105066, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, СПАРТАКОВСКАЯ УЛ., Д. 19, СТР. 3А, ПОМЕЩ. 1/1",,,+7 (916) 181-41-64 ,
https://kad.arbitr.ru/Card/42fa2c59-65d1-4510-8382-99a19cd7272a,"ООО""НОВОТЕКСТРОЙ""",7718217637,А40-48797/2024,0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Каунин Альберт Вячеславович,772101001,1027700022437,11.07.2002,"109377, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ РЯЗАНСКИЙ, 1-Я НОВОКУЗЬМИНСКАЯ УЛ., Д. 19, ПОМЕЩ. 1/3",8 (499) 970-07-02,,,
https://kad.arbitr.ru/Card/700cf13c-7d8f-4aba-975d-0e6c7be09e91,"ООО ""ЮНИ ТРАНС СЕРВИС""",7731664169,А40-48791/2024,177452.06,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Кузнецов Дмитрий Валентинович,771801001,1117746028069,20.01.2011,"107553, ГОРОД МОСКВА, ОКРУЖНОЙ ПРОЕЗД, ВЛД2А, СТР.1",,,,
https://kad.arbitr.ru/Card/d3f35885-6058-4b9f-b69e-ebccbe923881,"ООО ""КРОН""",3455001437,А40-48790/2024,0,да,ДИРЕКТОР: Залимханов Гаджимурад Гасанович,345501001,1133455001657,28.08.2013,"403023, ВОЛГОГРАДСКАЯ ОБЛАСТЬ, ГОРОДИЩЕНСКИЙ РАЙОН, КУЗЬМИЧИ ПОСЕЛОК, НЕФТЯНИКОВ УЛИЦА, 189, 12",,gemini000@mail.ru,+7 (872) 255-35-55 ; +7 (928) 894-23-24 ; +7 (928) 838-66-66 ,zalimkhanov@mail.ru; kron@mail.ru
https://kad.arbitr.ru/Card/fe97d3a3-8049-4661-86e4-b0dfa7c542d1,"ООО ""МАТЕН""",7714299854,А40-48789/2024,150000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Голенко Андрей Георгиевич,773401001,1037714014910,18.02.2003,"123308, ГОРОД МОСКВА, МНЁВНИКИ УЛИЦА, ДОМ 3, КОРПУС 1, ЭТ 1 ПОМ II КОМ 1-5,10,11",,,+7 (495) 580-28-07 ; +7 (499) 496-35-00 ; +7 (495) 223-92-28 ; +7 (499) 946-35-00 ; +7 (499) 946-35-01 ; +7 (926) 229-09-52 ,maten2010@mail.ru; info@maten.su; maten2011@ya.ru
